"","Partition_wardD.Best.partition","Partition_wardD2.Best.partition","Partition_single.Best.partition","Partition_complete.Best.partition","Partition_average.Best.partition","Partition_mcquitty.Best.partition","Partition_median.Best.partition","Partition_centroid.Best.partition","Consenso"
"taxid_1266458",1,1,1,1,1,1,1,1,"1"
"taxid_49267",2,2,2,2,2,2,2,2,"2"
"taxid_134599",1,1,1,1,1,1,1,1,"1"
"taxid_1162280",1,1,1,1,1,1,1,1,"1"
"taxid_92963",2,2,2,2,2,2,2,2,"2"
"taxid_158463",1,1,1,1,1,1,1,1,"1"
"taxid_232380",2,2,2,2,2,2,2,2,"2"
"taxid_185793",2,2,2,2,2,2,2,2,"2"
"taxid_297249",2,2,2,2,2,2,2,2,"2"
"taxid_395349",2,2,2,2,2,2,2,2,"2"
"taxid_266799",1,1,1,1,1,1,1,1,"1"
"taxid_219744",2,2,2,2,2,2,2,2,"2"
"taxid_260377",2,2,2,2,2,2,2,2,"2"
"taxid_123735",2,2,2,2,2,2,2,2,"2"
"taxid_1391746",2,2,2,2,2,2,2,2,"2"
"taxid_1825931",2,2,2,2,2,2,2,2,"2"
"taxid_85752",1,1,1,1,1,1,1,1,"1"
"taxid_390442",2,2,2,2,2,2,2,2,"2"
"taxid_10832",2,2,2,2,2,2,2,2,"2"
"taxid_1335768",2,2,2,2,2,2,2,2,"2"
"taxid_649996",1,1,1,1,1,1,1,1,"1"
"taxid_260909",1,1,1,1,1,1,1,1,"1"
"taxid_86502",1,1,1,1,1,1,1,1,"1"
"taxid_365523",1,1,1,1,1,1,1,1,"1"
"taxid_55216",1,1,1,1,1,1,1,1,"1"
"taxid_1825950",1,1,1,1,1,1,1,1,"1"
"taxid_859650",2,2,2,2,2,2,2,2,"2"
"taxid_1766828",2,2,2,2,2,2,2,2,"2"
"taxid_604276",2,2,2,2,2,2,2,2,"2"
"taxid_520848",2,2,2,2,2,2,2,2,"2"
"taxid_1881630",2,2,2,2,2,2,2,2,"2"
"taxid_667119",1,1,1,1,1,1,1,1,"1"
"taxid_1925153",2,2,2,2,2,2,2,2,"2"
"taxid_1001341",2,2,2,2,2,2,2,2,"2"
"taxid_367061",2,2,2,2,2,2,2,2,"2"
"taxid_1312724",2,2,2,2,2,2,2,2,"2"
"taxid_1170656",2,2,2,2,2,2,2,2,"2"
"taxid_35341",1,1,1,1,1,1,1,1,"1"
"taxid_1046573",1,1,1,1,1,1,1,1,"1"
"taxid_1046574",2,2,2,2,2,2,2,2,"2"
"taxid_1174526",2,2,2,2,2,2,2,2,"2"
"taxid_10834",2,2,2,2,2,2,2,2,"2"
"taxid_2169739",2,2,2,2,2,2,2,2,"2"
"taxid_2169740",2,2,2,2,2,2,2,2,"2"
"taxid_2169741",2,2,2,2,2,2,2,2,"2"
"taxid_2169742",2,2,2,2,2,2,2,2,"2"
"taxid_2169743",2,2,2,2,2,2,2,2,"2"
"taxid_2169744",2,2,2,2,2,2,2,2,"2"
"taxid_2025352",2,2,2,2,2,2,2,2,"2"
"taxid_51673",1,1,1,1,1,1,1,1,"1"
"taxid_1904884",2,2,2,2,2,2,2,2,"2"
