"","Partition_wardD.Best.partition","Partition_wardD2.Best.partition","Partition_single.Best.partition","Partition_complete.Best.partition","Partition_average.Best.partition","Partition_mcquitty.Best.partition","Partition_median.Best.partition","Partition_centroid.Best.partition","Consenso"
"taxid_1506568",1,1,1,1,1,1,1,1,"1"
"taxid_1692247",1,1,1,1,1,1,1,1,"1"
"taxid_1234879",1,1,1,1,1,1,1,1,"1"
"taxid_1234880",1,1,1,1,1,1,1,1,"1"
"taxid_1234881",1,1,1,1,1,1,1,1,"1"
"taxid_1234882",1,1,1,1,1,1,1,1,"1"
"taxid_1234883",1,1,1,1,1,1,1,1,"1"
"taxid_1574360",1,1,1,1,1,1,1,1,"1"
"taxid_1574361",1,1,1,1,1,1,1,1,"1"
"taxid_1574362",1,1,1,1,1,1,1,1,"1"
"taxid_2152567",1,1,1,1,1,1,1,1,"1"
"taxid_1574422",3,2,1,2,1,2,2,1,"2"
"taxid_2006585",1,1,1,1,1,1,1,1,"1"
"taxid_324685",1,1,1,1,1,1,1,1,"1"
"taxid_2480195",1,1,1,1,1,1,1,1,"1"
"taxid_2480197",3,2,1,2,1,2,2,1,"2"
"taxid_1380894",1,1,1,1,1,1,1,1,"1"
"taxid_1692248",1,1,1,1,1,1,1,1,"1"
"taxid_1530454",1,1,1,1,1,1,1,1,"1"
"taxid_2249941",1,1,1,1,1,1,1,1,"1"
"taxid_1692249",1,1,1,1,1,1,1,1,"1"
"taxid_400122",1,1,1,1,1,1,1,1,"1"
"taxid_1353241",3,2,1,2,1,2,2,1,"2"
"taxid_1692250",1,1,1,1,1,1,1,1,"1"
"taxid_2006642",1,1,1,1,1,1,1,1,"1"
"taxid_2016456",3,2,1,2,1,2,2,1,"2"
"taxid_2016457",1,1,1,1,1,1,1,1,"1"
"taxid_2016458",2,2,1,2,1,1,2,1,"1"
"taxid_2016459",1,1,1,1,1,1,1,1,"1"
"taxid_146032",1,1,1,1,1,1,1,1,"1"
"taxid_400121",1,1,1,1,1,1,1,1,"1"
"taxid_1692252",2,2,1,1,1,1,1,1,"1"
"taxid_2038728",1,1,1,1,1,1,1,1,"1"
"taxid_1525173",3,2,1,2,1,2,2,1,"2"
"taxid_1345637",1,1,1,1,1,1,1,1,"1"
"taxid_2017081",4,3,2,3,2,3,3,2,"3"
"taxid_2017082",1,1,1,1,1,1,1,1,"1"
"taxid_2017083",2,2,1,1,1,1,2,1,"1"
"taxid_743300",1,1,1,1,1,1,1,1,"1"
"taxid_1755290",1,1,1,1,1,1,1,1,"1"
"taxid_1173709",1,1,1,1,1,1,1,1,"1"
"taxid_1692253",2,2,1,1,1,1,1,1,"1"
"taxid_1692254",1,1,1,1,1,1,1,1,"1"
"taxid_1692255",2,2,1,1,1,1,1,1,"1"
"taxid_1128073",2,2,1,1,1,1,1,1,"1"
"taxid_1475143",1,1,1,1,1,1,1,1,"1"
"taxid_1959843",3,2,1,2,1,2,4,1,"1"
"taxid_1959844",1,1,1,1,1,1,1,1,"1"
"taxid_1959845",1,1,1,1,1,1,1,1,"1"
"taxid_1611039",1,1,1,1,1,1,1,1,"1"
"taxid_2169856",2,2,1,1,1,1,2,1,"1"
"taxid_232802",1,1,1,1,1,1,1,1,"1"
"taxid_257468",1,1,1,1,1,1,1,1,"1"
"taxid_1692256",1,1,1,1,1,1,1,1,"1"
"taxid_1795983",1,1,1,1,1,1,1,1,"1"
"taxid_1795984",1,1,1,1,1,1,1,1,"1"
"taxid_1795985",1,1,1,1,1,1,1,1,"1"
"taxid_2294094",1,1,1,1,1,1,1,1,"1"
"taxid_1692257",2,2,1,1,1,1,1,1,"1"
"taxid_1692258",1,1,1,1,1,1,1,1,"1"
"taxid_1692259",2,2,1,1,1,1,1,1,"1"
"taxid_1692260",2,2,1,1,1,1,1,1,"1"
"taxid_1419711",1,1,1,1,1,1,1,1,"1"
"taxid_1692261",1,1,1,1,1,1,1,1,"1"
"taxid_2057942",2,2,1,1,1,1,1,1,"1"
"taxid_1105383",4,3,2,3,2,3,3,2,"3"
"taxid_1105385",3,2,1,2,1,2,2,1,"2"
"taxid_1105386",3,2,1,2,1,2,2,1,"2"
"taxid_133704",1,1,1,1,1,1,1,1,"1"
"taxid_85708",1,1,1,1,1,1,1,1,"1"
"taxid_720569",1,1,1,1,1,1,1,1,"1"
"taxid_1475062",3,2,1,2,1,2,2,1,"2"
"taxid_1475063",3,2,1,2,1,2,4,1,"1"
"taxid_2017724",3,2,1,2,1,2,4,1,"1"
"taxid_1692262",1,1,1,1,1,1,1,1,"1"
"taxid_345250",1,1,1,1,1,1,1,1,"1"
"taxid_1195373",1,1,1,1,1,1,1,1,"1"
"taxid_1692263",1,1,1,1,1,1,1,1,"1"
"taxid_1126411",1,1,1,1,1,1,1,1,"1"
"taxid_2293301",1,1,1,1,1,1,1,1,"1"
"taxid_349370",1,1,1,1,1,1,1,1,"1"
"taxid_459957",1,1,1,1,1,1,1,1,"1"
"taxid_1732201",1,1,1,1,1,1,1,1,"1"
"taxid_1642515",1,1,1,1,1,1,1,1,"1"
